,HN,AH
0,318.82,1221.6
0,207.72,1174.3
0,336.45,1327.5
0,240.17,963.7
0.72,358.22,1292.1
0.72,359.77,1250.8
0.72,426.69,1307
0.72,436.5,1356.4
0.79,443.13,1383.5
0.92,410.5,1414.7
0.97,471.19,1383.418
1.07,474.5,1387.084
1.25,492.55,1393.5
